2022.05.21 13:01:24 INFO  tracing is disabled for protocol LSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/samwaters/dev/hands-on-scala/ch3/example-3/.metals/lsp.trace.json or /Users/samwaters/Library/Caches/org.scalameta.metals/lsp.trace.json[0m
2022.05.21 13:01:25 INFO  logging to file /Users/samwaters/dev/hands-on-scala/ch3/example-3/.metals/metals.log[0m
2022.05.21 13:01:25 INFO  Started: Metals version 0.11.5 in workspace '/Users/samwaters/dev/hands-on-scala/ch3/example-3' for client Visual Studio Code 1.67.2.[0m
2022.05.21 13:01:32 INFO  time: initialize in 6.64s[0m
2022.05.21 13:01:32 WARN  Flyway upgrade recommended: H2 2.1.212 is newer than this version of Flyway and support has not been tested. The latest supported version of H2 is 2.1.210.[0m
2022.05.21 13:01:33 WARN  Build server is not auto-connectable.[0m
2022.05.21 13:01:36 WARN  no build target for: /Users/samwaters/dev/hands-on-scala/ch3/example-3/build.sc[0m
2022.05.21 13:01:39 INFO  running '/var/folders/wp/wv_7qj5j2rl_fxwf95jsl_b40000gn/T/metals11412349391154896531/millw --mill-version 0.8.0 --predef /var/folders/wp/wv_7qj5j2rl_fxwf95jsl_b40000gn/T/metals11412349391154896531/predef.sc mill.contrib.Bloop/install'[0m
2022.05.21 13:01:43 INFO  no build target found for /Users/samwaters/dev/hands-on-scala/ch3/example-3/build.sc. Using presentation compiler with project's scala-library version: 3.1.2[0m
2022.05.21 13:01:44 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-contrib-bloop_2.13/0.8.0/mill-contrib-bloop_2.13-0.8.0.pom[0m
2022.05.21 13:01:45 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-contrib-bloop_2.13/0.8.0/mill-contrib-bloop_2.13-0.8.0.pom[0m
2022.05.21 13:01:45 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalanativelib_2.13/0.8.0/mill-scalanativelib_2.13-0.8.0.pom[0m
2022.05.21 13:01:45 INFO  Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.13/1.4.0-RC1/bloop-config_2.13-1.4.0-RC1.pom[0m
2022.05.21 13:01:45 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib_2.13/0.8.0/mill-scalajslib_2.13-0.8.0.pom[0m
2022.05.21 13:01:45 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalanativelib_2.13/0.8.0/mill-scalanativelib_2.13-0.8.0.pom[0m
2022.05.21 13:01:45 INFO  Downloaded https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.13/1.4.0-RC1/bloop-config_2.13-1.4.0-RC1.pom[0m
2022.05.21 13:01:45 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib_2.13/0.8.0/mill-scalajslib_2.13-0.8.0.pom[0m
2022.05.21 13:01:45 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib-api_2.13/0.8.0/mill-scalajslib-api_2.13-0.8.0.pom[0m
2022.05.21 13:01:45 INFO  Downloading https://repo1.maven.org/maven2/com/github/plokhotnyuk/jsoniter-scala/jsoniter-scala-core_2.13/2.0.4/jsoniter-scala-core_2.13-2.0.4.pom[0m
2022.05.21 13:01:45 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalanativelib-api/0.8.0/mill-scalanativelib-api-0.8.0.pom[0m
2022.05.21 13:01:45 INFO  Downloaded https://repo1.maven.org/maven2/com/github/plokhotnyuk/jsoniter-scala/jsoniter-scala-core_2.13/2.0.4/jsoniter-scala-core_2.13-2.0.4.pom[0m
2022.05.21 13:01:45 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalanativelib-api/0.8.0/mill-scalanativelib-api-0.8.0.pom[0m
2022.05.21 13:01:45 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib-api_2.13/0.8.0/mill-scalajslib-api_2.13-0.8.0.pom[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/eclipse/lsp4j/org.eclipse.lsp4j.generator/0.8.1/org.eclipse.lsp4j.generator-0.8.1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/scalameta/common_2.13/4.3.20/common_2.13-4.3.20-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalalib_2.13/0.8.0/mill-scalalib_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib-api_2.13/0.8.0/mill-scalajslib-api_2.13-0.8.0.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/io/get-coursier/coursier-util_2.13/2.0.0-RC6-15/coursier-util_2.13-2.0.0-RC6-15-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/ammonite-repl-api_2.13.2/2.2.0/ammonite-repl-api_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/eclipse/lsp4j/org.eclipse.lsp4j.generator/0.8.1/org.eclipse.lsp4j.generator-0.8.1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/github/plokhotnyuk/jsoniter-scala/jsoniter-scala-core_2.13/2.0.4/jsoniter-scala-core_2.13-2.0.4-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/scalameta/common_2.13/4.3.20/common_2.13-4.3.20-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/javassist/javassist/3.21.0-GA/javassist-3.21.0-GA-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalalib_2.13/0.8.0/mill-scalalib_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/typesafe/config/1.3.3/config-1.3.3-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib-api_2.13/0.8.0/mill-scalajslib-api_2.13-0.8.0.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/ammonite-interp_2.13.2/2.2.0/ammonite-interp_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/io/get-coursier/coursier-util_2.13/2.0.0-RC6-15/coursier-util_2.13-2.0.0-RC6-15-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/eclipse/xtend/org.eclipse.xtend.lib/2.18.0/org.eclipse.xtend.lib-2.18.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/ammonite-repl-api_2.13.2/2.2.0/ammonite-repl-api_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/org/fusesource/jansi/jansi/1.18/jansi-1.18-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/typesafe/config/1.3.3/config-1.3.3-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib_2.13/0.8.0/mill-scalajslib_2.13-0.8.0.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/github/plokhotnyuk/jsoniter-scala/jsoniter-scala-core_2.13/2.0.4/jsoniter-scala-core_2.13-2.0.4-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-main_2.13/0.8.0/mill-main_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/fusesource/jansi/jansi/1.18/jansi-1.18-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.13/1.4.0-RC1/bloop-config_2.13-1.4.0-RC1-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/eclipse/xtend/org.eclipse.xtend.lib/2.18.0/org.eclipse.xtend.lib-2.18.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/ammonite_2.13.2/2.2.0/ammonite_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/ammonite-interp_2.13.2/2.2.0/ammonite-interp_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/thesamet/scalapb/scalapb-runtime_2.13/0.10.3/scalapb-runtime_2.13-0.10.3-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/org/javassist/javassist/3.21.0-GA/javassist-3.21.0-GA-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib-api_2.13/0.8.0/mill-scalajslib-api_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib_2.13/0.8.0/mill-scalajslib_2.13-0.8.0.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-contrib-bloop_2.13/0.8.0/mill-contrib-bloop_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-main_2.13/0.8.0/mill-main_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/io/get-coursier/coursier_2.13/2.0.0-RC6-15/coursier_2.13-2.0.0-RC6-15-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/ammonite_2.13.2/2.2.0/ammonite_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bloop-config_2.13/1.4.0-RC1/bloop-config_2.13-1.4.0-RC1.jar[0m
